,company_name,Experience,salary,location,info,Skills,Job_URL
0,Trigent Professional Services,0 Yrs,"50,000-3 Lacs PA","Pune, Bengaluru, Mumbai (All Areas)",,"Inbound Voice Process, US Calling, BPO Voice, International Voice, US Voice Process, Outbound Calling, International Calling, International",https://www.naukri.com/job-listings-hiring-fresher-international-voice-support-night-shift-trigent-software-pune-bengaluru-mumbai-all-areas-0-to-0-years-080726009480
1,Infosys3.550937  Reviews,2-3 Yrs,,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",,"Java, Selenium, Playwright Automation, API Testing, Automation Testing, API, Software testing, Automation",https://www.naukri.com/job-listings-automation-test-engineer-infosys-pune-bengaluru-mumbai-all-areas-2-to-3-years-280826011299
2,Tata Consultancy Services3.2118961  Reviews,4-8 Yrs,12-22 Lacs PA,"Pune, Chennai, Mumbai (All Areas)",,"Fast API, Python Development, Flask, Python Framework, Python, Framework, Development, API",https://www.naukri.com/job-listings-python-developer-lead-tata-consultancy-services-pune-chennai-mumbai-all-areas-4-to-8-years-310826023648
3,IQVIA3.75513  Reviews,2-7 Yrs,,"Kolkata, Bengaluru, Mumbai (All Areas)",,"SAS Macros, Clinical SAS, SAS Programming, Clinical SAS Programming, SAS, Macros, Database management, Program",https://www.naukri.com/job-listings-database-management-analyst-clinical-sas-programming-iqvia-kolkata-bengaluru-mumbai-all-areas-2-to-7-years-310826021065
4,Tata Consultancy Services3.2118961  Reviews,6-10 Yrs,12-22 Lacs PA,"Pune, Chennai, Mumbai (All Areas)",,"Java, Spring Boot, React.js, Microservices, Boot, Spring",https://www.naukri.com/job-listings-java-springboot-microservices-reactjs-tata-consultancy-services-pune-chennai-mumbai-all-areas-6-to-10-years-310826007929
5,Capgemini3.656049  Reviews,4-9 Yrs,,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",,"sap fico implementation, fico, HANA Implementation, asset accounting, aa, statutory compliance, sap fi, accounting",https://www.naukri.com/job-listings-urgent-hiring-sap-fico-tier-1-immediate-joiners-only-weekend-drive-capgemini-pune-bengaluru-mumbai-all-areas-4-to-9-years-270826030940
6,Capgemini3.656049  Reviews,8-13 Yrs,,"Pune, Bangalore Rural, Mumbai (All Areas)",,"Power Bi, databricks, SQL, Data Bricks, Bi, Development",https://www.naukri.com/job-listings-power-bi-developer-capgemini-pune-bangalore-rural-mumbai-all-areas-8-to-13-years-270826027262
7,EY3.415435  Reviews,5-8 Yrs,,"Hybrid - Hyderabad, Bengaluru, Mumbai (All Areas)",,"Agentic Ai, generative ai, Cloud, Machine Learning, Python, Artificial Intelligence, Gen, Machine",https://www.naukri.com/job-listings-gen-ai-engineer-bangalore-hyderabad-mumbai-ey-hyderabad-bengaluru-mumbai-all-areas-5-to-8-years-010926036004
8,Hdfc Bank3.855268  Reviews,8-13 Yrs,,"Hybrid - Kolkata, Navi Mumbai, Pune",,"JAVA, Azure, Docker, GCP, Cloud, Ci/Cd, AWS, SDLC",https://www.naukri.com/job-listings-senior-technical-analyst-hdfc-bank-kolkata-navi-mumbai-pune-8-to-13-years-290826011254
9,Tata Consultancy Services3.2118961  Reviews,6-10 Yrs,,"Pune, Bengaluru, Mumbai (All Areas)",,"Playwright, Javascript, Automation Testing, TypeScript, SOAP UI, Json / Xml, Selenium, UI",https://www.naukri.com/job-listings-playwright-automation-engineer-tata-consultancy-services-pune-bengaluru-mumbai-all-areas-6-to-10-years-260826014967
10,Tata Consultancy Services3.2118961  Reviews,6-10 Yrs,,"Pune, Bengaluru, Mumbai (All Areas)",,"Playwright, Javascript, Selenium, Java, UI Automation, API Testing, API, UI",https://www.naukri.com/job-listings-playwright-automation-tata-consultancy-services-pune-bengaluru-mumbai-all-areas-6-to-10-years-020926013949
11,Hexaware Technologies3.48106  Reviews,7-12 Yrs,10-20 Lacs PA,"Hybrid - Pune, Chennai, Mumbai (All Areas)",,".Net Core, AI, Azure Cloud Services, React, Angular, Microsoft Azure, Cloud, Core",https://www.naukri.com/job-listings-dot-net-fullstack-developer-gen-ai-hexaware-technologies-pune-chennai-mumbai-all-areas-7-to-12-years-300826005310
12,HCLTech3.448105  Reviews,12-22 Yrs,,"Hybrid - Hyderabad, Bengaluru, Mumbai (All Areas)",,"Tableau, Data Migration, GCP, Cognos, Looker, Migration, Data, IP",https://www.naukri.com/job-listings-gcp-data-migration-expert-ip-tableau-cognos-to-looker-hcltech-hyderabad-bengaluru-mumbai-all-areas-12-to-22-years-010926032284
13,Hexaware Technologies3.48106  Reviews,7-12 Yrs,,"Hybrid - Pune, Chennai, Mumbai (All Areas)",,".Net core, MongoDB, Javascript, React, Angular, ASP.Net, DoT, .Net",https://www.naukri.com/job-listings-dot-net-fullstack-developer-hexaware-technologies-pune-chennai-mumbai-all-areas-7-to-12-years-300826005241
14,Capgemini3.656049  Reviews,2-4 Yrs,6-6.5 Lacs PA,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",,"Tosca, Uft, Model Based Testing, Tricentis Tosca, Tosca Automation, SAP Automation, JIRA, Functional Testing",https://www.naukri.com/job-listings-tosca-tester-capgemini-pune-bengaluru-mumbai-all-areas-2-to-4-years-260826017906
15,Capgemini3.656049  Reviews,4-9 Yrs,,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",,"ABAP on HANA, Odata, Cds Views, Cds, Amdp, SAP ABAP HANA, SAP, SAP ABAP",https://www.naukri.com/job-listings-sap-abap-hana-consultant-capgemini-pune-bengaluru-mumbai-all-areas-4-to-9-years-310826007694
16,Capgemini3.656049  Reviews,10-20 Yrs,,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",,"SAP Project Management, Function Modules, SAP Implementation, Functional, Project management, Management, Project, SAP",https://www.naukri.com/job-listings-sap-project-manager-capgemini-pune-bengaluru-mumbai-all-areas-10-to-20-years-260526025327
17,Hexaware Technologies3.48106  Reviews,8-12 Yrs,,"Hybrid - Pune, Chennai, Mumbai (All Areas)",,"Java, S3, EC2, Spring Boot, react, Java Fullstack, AWS, Lambda",https://www.naukri.com/job-listings-java-full-stack-lead-hexaware-technologies-pune-chennai-mumbai-all-areas-8-to-12-years-010226004753
18,Accenture3.776834  Reviews,10-13 Yrs,,"Mumbai, Gurugram, Bengaluru",,"Data Strategy, Technology Infrastructure Assessment, IT Due Diligence, Strategy Consulting, IT implementation, Cloud Transformation, Technology Strategy, Due diligence",https://www.naukri.com/job-listings-s-c-gn-tech-strategy-advisory-data-strategy-manager-accenture-solutions-pvt-ltd-mumbai-gurugram-bengaluru-10-to-13-years-310826917943
