Price,Name,Rating
"27,490","LG Smart Choice, 7 Kg, 5 Star, Steam, Inverter Direct Drive Technology, 6 Motion DD, Fully-Automatic Front Load Washing Machine (FHB1207Z2W, Remove Allergens & Stain, In-Built Heater, Essence White)",4.3 out of 5 stars
"20,690","Samsung Smart Choice 8 kg, 5 star, Eco Bubble Tech, Digital Inverter Motor, Soft Closing Door, Fully-Automatic Top Load Washing Machine (WA80BG4441BGTL, Light Gray)",4.0 out of 5 stars
"21,490","Midea 7 Kg 5 Star Fully Automatic Front Load Washing Machine with Inverter Motor, Self Clean Drum Technology, 15 Wash Programs (MFG17W70B/T-IND, Titanium Grey)",5.0 out of 5 stars
"21,490","Godrej 7 Kg 5 Star, AI Powered, FabriSafe Drum, 65% Water Saving, Fully Automatic Front Load Washing Machine (WFEON CRS 7010 5.0 FKEDM GLWH, Glacial White)",3.6 out of 5 stars
"15,590","Haier 7 Kg, Oceanus Wave Drum, 15 Min Quick Wash, Magic Filter, 8 Wash Programs, Fully Automatic Top Load Washing Machine (HWM70-AE | Moonlight Silver)",4.0 out of 5 stars
"13,790","Voltas Beko, A Tata Product 6.5 Kg 5 Star Fully-Automatic Top Loading Washing Machine (WTL6504UEA/OBS2P10 Eco-Series,Dark Grey, Pulsator wash and Double waterfall technology)",4.0 out of 5 stars
"31,990","Samsung 7 kg, 5 Star, Hygiene Steam, Quick Wash, Digital Inverter Motor, Fully-Automatic Front Load Washing Machine (WW70FG4S02AXTL, Inox)",4.0 out of 5 stars
"21,990","Godrej 7 Kg 5 Star, AI Powered, FabriSafe Drum, 65% Water Saving, Fully Automatic Front Load Washing Machine (WFEON CRS 7010 5.0 FKEDM CNGR, Candy Grey)",3.1 out of 5 stars
"13,000","Samsung 7.5 Kg Inverter 5 Star Semi Automatic Top Load Washing Machine (WT75B3200RR/TL, Light Grey & Red Base, Air turbo drying, 5 Year Warranty on Wash Motor)",4.1 out of 5 stars
"28,390","Bosch 7 kg 5 Star Front Load Fully-Automatic Washing Machine, Steam Antibacterial Tech, AI ActiveWater, 15 Wash Programs, 53L Large Drum, SoftCare Paddle, White, WAJ24263IN (2026 Model)",3.4 out of 5 stars
"18,790",Whirlpool 7.0 Kg 5 Star StainWash Magic Clean Pro Fully Automatic Top Load Washing Machine (MAGIC CLEAN PRO SW 7.0 (H) GREY 10YMW with In-Built Heater),4.0 out of 5 stars
